Location,Count,Size,Link
Georgia,"1,090,394",78.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Georgia.zip
Germany,"28,177,869",2.6GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Germany.zip
Ghana,"4,728,049",351.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ghana.zip
Golan Heights,"20,919",1.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Golan Heights.zip
Greece,"5,766,786",448.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Greece.zip
Grenada,"50,583",3.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Grenada.zip
Guatemala,"2,585,837",185.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guatemala.zip
Guinea-Bissau,"293,103",20.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guinea-Bissau.zip
Guinea,"1,588,864",108.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guinea.zip
Guyana,"253,146",17.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guyana.zip
Haiti,"1,564,132",104.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Haiti.zip
Honduras,"702,846",49.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Honduras.zip
Hungary,"5,689,493",437.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Hungary.zip
Iceland,"199,077",18.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iceland.zip
India,"83,950,819",6.3GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/India.zip
Iran,"7,290,330",605.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iran.zip
Iraq,"8,188,203",663.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iraq.zip
Ireland,"2,335,404",193.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ireland.zip
Isle of Man,"40,823",3.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Isle of Man.zip
Israel,"1,360,355",116.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Israel.zip
Italy,"12,007,582",1.0GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Italy.zip
Ivory Coast,"3,128,370",218.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ivory Coast.zip
Jamaica,"900,778",62.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Jamaica.zip
Jordan,"1,158,539",98.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Jordan.zip
Kazakhstan,"7,202,364",551.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kazakhstan.zip
Kingdom of Saudi Arabia,"5,919,197",486.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kingdom of Saudi Arabia.zip
Kosovo,"737,451",54.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kosovo.zip
Kuwait,"48,917",3.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kuwait.zip
Kyrgyzstan,"2,219,078",166.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kyrgyzstan.zip
Laos,"1,698,185",117.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Laos.zip
Lapthal,22,1.8KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lapthal.zip
Latvia,"1,232,238",97.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Latvia.zip
Lebanon,"1,013,451",85.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lebanon.zip
Lesotho,"808,152",54.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lesotho.zip
Liberia,"459,196",32.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Liberia.zip
Libya,"2,117,880",171.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Libya.zip
Lithuania,"2,161,065",170.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lithuania.zip
Luxembourg,"156,171",14.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Luxembourg.zip
Madagascar,"3,858,230",250.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Madagascar.zip
Malawi,"4,550,131",294.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Malawi.zip
Maldives,"46,503",3.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Maldives.zip
Mali,"1,833,915",121.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mali.zip
Malta,"74,823",8.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Malta.zip
Mauritania,"820,230",56.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mauritania.zip
Mauritius,"310,055",25.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mauritius.zip
Mayotte,"58,174",4.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mayotte.zip
Mexico,"23,765,721",1.8GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mexico.zip
Moldova,"2,232,210",169.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Moldova.zip
Mongolia,"441,496",31.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mongolia.zip
Montenegro,"369,178",26.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Montenegro.zip
Montserrat,"3,989",303.7KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Montserrat.zip
Morocco,"3,176,667",268.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Morocco.zip
Mozambique,"7,663,943",498.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mozambique.zip
Myanmar,"9,509,715",633.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Myanmar.zip
Namibia,"842,206",59.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Namibia.zip
Nepal,"6,349,307",433.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Nepal.zip
Netherlands,"3,539,902",328.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Netherlands.zip
Nicaragua,"783,377",56.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Nicaragua.zip
Niger,"1,768,697",118.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Niger.zip
North America,"3,250",252.0KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/North America.zip
North Korea,"39,129",3.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/North Korea.zip
Norway,"3,771,466",326.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Norway.zip
Pa-li-chia-ssu,234,16.6KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Pa-li-chia-ssu.zip
Pakistan,"19,399,807",1.5GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Pakistan.zip
Panama,"1,127,611",80.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Panama.zip
Paracel Islands,347,29.7KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Paracel Islands.zip
Paraguay,"2,382,243",169.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Paraguay.zip
Peru,"7,470,993",550.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Peru.zip
Poland,"17,931,193",1.4GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Poland.zip
Portugal,"5,875,178",475.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Portugal.zip
Puerto Rico,"1,456,268",105.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Puerto Rico.zip
Republic of Yemen,"3,048,460",222.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Republic of Yemen.zip
Republic of the Congo,"212,365",14.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Republic of the Congo.zip
Reunion,"349,450",26.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Reunion.zip
Romania,"12,345,591",929.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Romania.zip
Russia,"65,592,760",4.9GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Russia.zip
Rwanda,"2,937,226",202.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Rwanda.zip
Saint Barthelemy,"6,742",522.0KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint Barthelemy.zip
"Saint Helena, Ascension and Tristan da Cunha","4,196",311.3KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint Helena%2C Ascension and Tristan da Cunha.zip
Saint Lucia,"75,099",5.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint Lucia.zip
San Marino,"7,728",691.9KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/San Marino.zip
Sang,129,9.1KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sang.zip
Senegal,"1,848,802",132.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Senegal.zip
Serbia,"4,751,385",358.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Serbia.zip
Seychelles,"38,345",2.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Seychelles.zip
Sierra Leone,"514,685",35.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sierra Leone.zip
Slovakia,"2,515,328",200.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Slovakia.zip
Slovenia,"1,126,167",90.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Slovenia.zip
Somalia,"50,419",3.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Somalia.zip
South Africa,"22,954,325",1.6GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/South Africa.zip
South America,46,3.5KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/South America.zip
South Sudan,"120,553",8.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/South Sudan.zip
Spain,"2,857,746",257.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Spain.zip
Sri Lanka,"3,162,836",220.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sri Lanka.zip
St Kitts and Nevis,"27,786",2.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St Kitts and Nevis.zip
St Martin,"9,747",783.9KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St Martin.zip
St Vincent and the Grenadines,"47,587",3.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St Vincent and the Grenadines.zip
State of Qatar,"507,224",41.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/State of Qatar.zip
Sudan,"2,851,260",199.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sudan.zip
Sultanate of Oman,"393,799",32.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sultanate of Oman.zip
Suriname,"244,018",17.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Suriname.zip
Swaziland,"636,538",43.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Swaziland.zip
Sweden,"6,449,888",541.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sweden.zip
Switzerland,"292,095",27.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Switzerland.zip
Syria,"4,432,148",354.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Syria.zip
S�o Tom� and Pr�ncipe,"35,084",2.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe.zip
Tajikistan,"2,006,822",151.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tajikistan.zip
Tanzania,"685,763",45.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tanzania.zip
Thailand,"24,503,490",1.7GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Thailand.zip
The Bahamas,"129,246",9.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/The Bahamas.zip
The Gambia,"349,894",24.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/The Gambia.zip
Togo,"1,440,071",102.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Togo.zip
Trinidad and Tobago,"495,217",36.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Trinidad and Tobago.zip
Tunisia,"3,411,631",299.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tunisia.zip
Turkey,"18,058,257",1.4GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turkey.zip
Turkmenistan,"1,472,716",112.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turkmenistan.zip
Turks and Caicos Islands,"15,713",1.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Turks and Caicos Islands.zip
US Virgin Islands,"50,266",3.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/US Virgin Islands.zip
Uganda,"773,722",53.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uganda.zip
Ukraine,"26,771,785",1.9GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ukraine.zip
United Arab Emirates,"940,322",82.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/United Arab Emirates.zip
United Kingdom,"18,240,684",1.6GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/United Kingdom.zip
Uruguay,"1,150,564",87.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uruguay.zip
Uzbekistan,"6,511,858",524.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Uzbekistan.zip
Vatican City,91,11.6KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Vatican City.zip
Venezuela,"8,095,813",587.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Venezuela.zip
Vietnam,"23,866,366",1.7GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Vietnam.zip
West Bank,"664,890",54.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/West Bank.zip
Western Halaib Triangle,156,11.2KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Western Halaib Triangle.zip
Zambia,"4,072,766",274.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Zambia.zip
Zimbabwe,"5,205,824",347.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Zimbabwe.zip
Ile Saint-Martin,"14,919",1.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/%C3%8Ele Saint-Martin.zip
